Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Beveridge M.C.M., McAndrew B.J.",,Tilapias: Biology and Exploitation,2000,Tilapias: Biology and Exploitation,,,,,,,71,,,,"Beveridge, M.C.M.; McAndrew, B.J.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-0003600608
"Pantanella E., Cardarelli M., Colla G., Rea E., Marcucci A.",51665500000;11940360300;11939607900;7004129363;35767968800;,Aquaponics vs. Hydroponics: Production and Quality of Lettuce Crop,2012,Acta Horticulturae,927,,,887,894,,65,10.17660/actahortic.2012.927.109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863660771&doi=10.17660%2factahortic.2012.927.109&partnerID=40&md5=d398efc8478c3586ca7b8a377ec0822b,"Dipartimento di Geologia e Ingegneria, Meccanica, Naturalistica e Idraulica per il Territorio, Università della Tuscia, via S. C. de Lellis snc, 01100 Viterbo, Italy; CRA-Centro di Ricerca per lo Studio, Delle Relazioni tra Pianta e Suolo, Via della Navicella 2-4, 00184 Roma, Italy","Pantanella, E., Dipartimento di Geologia e Ingegneria, Meccanica, Naturalistica e Idraulica per il Territorio, Università della Tuscia, via S. C. de Lellis snc, 01100 Viterbo, Italy; Cardarelli, M., Dipartimento di Geologia e Ingegneria, Meccanica, Naturalistica e Idraulica per il Territorio, Università della Tuscia, via S. C. de Lellis snc, 01100 Viterbo, Italy; Colla, G., Dipartimento di Geologia e Ingegneria, Meccanica, Naturalistica e Idraulica per il Territorio, Università della Tuscia, via S. C. de Lellis snc, 01100 Viterbo, Italy; Rea, E., CRA-Centro di Ricerca per lo Studio, Delle Relazioni tra Pianta e Suolo, Via della Navicella 2-4, 00184 Roma, Italy; Marcucci, A., CRA-Centro di Ricerca per lo Studio, Delle Relazioni tra Pianta e Suolo, Via della Navicella 2-4, 00184 Roma, Italy","Aquaponics is a vegetable production system that integrates soilless cultivation and aquaculture. Plants strip nutrients from fish waste water and convert metabolites toxic to fish. Aquaponics is an environmental-friendly production system due to its full reuse of waste and nutrients. The research, carried out at the Experimental Farm of the University of Tuscia, compared summer yields of two romaine lettuce crops (Lactuca sativa L. 'Integral') grown on aquaponic and hydroponic floating systems. For the hydroponic treatment a nutritive solution of 1.7 dS m-1 and pH 5.5 supported plant growth. For the aquaponic system two treatments under different fish densities supplied nutrients at different concentrations. Every aquaponic treatment consisted of 3 independent 250-L tanks stocked with Nile tilapia (Oreochromis niloticus L.). Each fish tank fed a 1.5 m2 floating system under a 20 plant m-2 density. For the first crop 110 g and 24 g tilapia were stocked at system setup respectively under a low (5 kg m-3) and high (8 kg m-3) density and supplied nutrients with an electrical conductivity (EC) of 0.4 and 0.6 dS m-1. For the second crop 168 g and 90 g tilapia respectively stocked under a low (6 kg m-3) and high (20 kg m-3) stocking density raised EC levels to 0.5 and 1.0 dS m-1. Production of 2.8 kg m -2 from the first hydroponic crop was similar to the 2.7 kg m -2 assessed in the high density aquaponic treatment. Conversely the 2.3 kg m-2 measured in the low density treatment was smaller. For the second trial no differences were noticed between the 6.0 kg m-2 measured in the hydroponic system and the 5.7 and 5.6 kg m-2 assessed in the high and low-density aquaponic treatments, respectively. Nevertheless different nutrient concentrations in water affected plant mineral composition. Aquaponic leaves were poorer in phosphorus but richer in calcium, potassium magnesium and sodium.",Floating system; Integrated aquaculture; Oreochromis niloticus; Soilless agriculture; Tilapia,Lactuca; Lactuca sativa; Oreochromis niloticus; Tilapia,"Pantanella, E.; Dipartimento di Geologia e Ingegneria, via S. C. de Lellis snc, 01100 Viterbo, Italy; email: edpantanella@gmail.com",,International Society for Horticultural Science,5677572,9.78907E+12,,,English,Acta Hortic.,Conference Paper,Final,,Scopus,2-s2.0-84863660771
"Gelfand I., Barak Y., Even-Chen Z., Cytryn E., Van Rijn J., Krom M.D., Neori A.",7005158657;35315363900;6507037773;16425191500;7007057681;7006504071;6701755929;,A novel zero discharge intensive seawater recirculating system for the culture of marine fish,2003,Journal of the World Aquaculture Society,34,3,,344,358,,65,10.1111/j.1749-7345.2003.tb00072.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142182586&doi=10.1111%2fj.1749-7345.2003.tb00072.x&partnerID=40&md5=562c19f51e5689cad4cdeef2a3a5f8ff,"Department of Animal Sciences, Fac. of Agric. Food/Environ. Quality, The Hebrew University of Jerusalem, Rehovat 76100, Israel; School of Earth Sciences, Leeds University, Leeds LS2 9JT, United Kingdom; Israel Oceanogr./Limnological Res., National Center for Mariculture, Eilat 88112, Israel","Gelfand, I., Department of Animal Sciences, Fac. of Agric. Food/Environ. Quality, The Hebrew University of Jerusalem, Rehovat 76100, Israel; Barak, Y., Department of Animal Sciences, Fac. of Agric. Food/Environ. Quality, The Hebrew University of Jerusalem, Rehovat 76100, Israel; Even-Chen, Z., Department of Animal Sciences, Fac. of Agric. Food/Environ. Quality, The Hebrew University of Jerusalem, Rehovat 76100, Israel; Cytryn, E., Department of Animal Sciences, Fac. of Agric. Food/Environ. Quality, The Hebrew University of Jerusalem, Rehovat 76100, Israel; Van Rijn, J., Department of Animal Sciences, Fac. of Agric. Food/Environ. Quality, The Hebrew University of Jerusalem, Rehovat 76100, Israel; Krom, M.D., School of Earth Sciences, Leeds University, Leeds LS2 9JT, United Kingdom; Neori, A., Israel Oceanogr./Limnological Res., National Center for Mariculture, Eilat 88112, Israel","Results are presented of a zero-discharge marine recirculating system used for the culture of gilthead seabream Sparus aurata. Operation of the system without any discharge of water and sludge was enabled by recirculation of effluent water through two separate treatment loops, an aerobic trickling filter and a predominantly anoxic sedimentation basin, followed by a fluidized bed reactor. The fish basin was stocked for the first 6 mo with red tilapia Oreochromis niloticus x O. aureus at an initial density of 16 kg/m3. During this period salinity was raised from 0 to 20 parts per thousand. Then, gilthead seabream, stocked at an initial density of 21 kg/m3, replaced tilapia at day 167 and were cultured for an additional 225 d. Non steady-state inorganic nitrogen transformations occurred as a result of these salinity changes. After day 210, the system operated at all times with those water quality parameters considered critical for successful operation of mariculture systems, within acceptable limits. Thus ammonia, nitrite, and nitrate concentrations did not exceed 1.0-mg total ammonia-N/L, 0.5-mg NO2-N/L and 50-mg NO3-N/L, respectively. Sulfide levels in the fish basin were below detection limits and oxygen &gt; 6 mg/L after the oxygen generator was added at day 315. Ammonia, produced in the fish basin and to a lesser extent in the sedimentation basin, was converted to nitrate in the aerobic trickling filter. Nitrate removal took place in the sedimentation basin and to a lesser extent in the fluidized bed reactor. Sludge, remaining in the sedimentation basin at the end of the experimental period, accounted for 9.2% of the total feed dry matter addition to the system. The system was disease-free for the entire year and fish at harvest were of good quality. Water consumption for production of 1 kg of tilapia was 93 L and 214 L for production of 1 kg of gilthead seabream. Additional growth performance data of gilthead seabream cultured in a similar but larger system are presented. During 164 d of operation of the latter system, maximum stocking densities reached 50 kg/m3 and fish biomass production was 27.7 kg/m3. Relatively poor fish survival and growth resulted from occasional technical failures of this pilot system.",,aquaculture effluent; aquaculture system; mariculture; pollution control; recirculating system; Oreochromis; Oreochromis aureus; Oreochromis niloticus; Sparus; Sparus aurata; Sparus aurata; Tilapia,"Gelfand, I.; Department of Animal Sciences, , Rehovat 76100, Israel",,World Aquaculture Society,8938849,,,,English,J. World Aquac. Soc.,Article,Final,,Scopus,2-s2.0-0142182586
"De Kreij C., Voogt W., Baas R.",,Nutrient solutions and water quality for soilless cultures,1999,Nutrient Solutions and Water Quality for Soilless Cultures,,,,,,,65,,,,"De Kreij, C.; Voogt, W.; Baas, R.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-0003407552
Dybas C.L.,6602547051;,Dead zones spreading in world oceans,2005,BioScience,55,7,,552,557,,62,10.1641/0006-3568(2005)055[0552:DZSIWO]2.0.CO;2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-21444453417&doi=10.1641%2f0006-3568%282005%29055%5b0552%3aDZSIWO%5d2.0.CO%3b2&partnerID=40&md5=593b79f5d3219c317e9f928fe1aa1021,,"Dybas, C.L.",[No abstract available],,,,,American Institute of Biological Sciences,63568,,BISNA,,English,BioScience,Review,Final,"All Open Access, Bronze",Scopus,2-s2.0-21444453417
"Gagnon V., Maltais-Landry G., Puigagut J., Chazarenc F., Brisson J.",26029807400;23470293400;6504801756;16642035400;35098211500;,Treatment of hydroponics wastewater using constructed wetlands in winter conditions,2010,"Water, Air, and Soil Pollution",212,4-Jan,,483,490,,60,10.1007/s11270-010-0362-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957592480&doi=10.1007%2fs11270-010-0362-8&partnerID=40&md5=6a980623c06603d0d03c384aff9f29a6,"Institut de Recherche en Biologie Végétale, Université de Montréal, 4101, rue Sherbrooke Est, Montréal, QC H1X 2B2, Canada; Département Systèmes Energétiques et Environnement, Ecole des Mines de Nantes, 4, rue Alfred Kastler, 44307 Nantes Cedex 3, France","Gagnon, V., Institut de Recherche en Biologie Végétale, Université de Montréal, 4101, rue Sherbrooke Est, Montréal, QC H1X 2B2, Canada; Maltais-Landry, G., Institut de Recherche en Biologie Végétale, Université de Montréal, 4101, rue Sherbrooke Est, Montréal, QC H1X 2B2, Canada; Puigagut, J., Institut de Recherche en Biologie Végétale, Université de Montréal, 4101, rue Sherbrooke Est, Montréal, QC H1X 2B2, Canada; Chazarenc, F., Département Systèmes Energétiques et Environnement, Ecole des Mines de Nantes, 4, rue Alfred Kastler, 44307 Nantes Cedex 3, France; Brisson, J., Institut de Recherche en Biologie Végétale, Université de Montréal, 4101, rue Sherbrooke Est, Montréal, QC H1X 2B2, Canada","Hydroponics culture generates large amounts of wastewater that are highly concentrated in nitrate and phosphorus but contains almost no organic carbon. Constructed wetlands (CWs) have been proposed to treat this type of effluent, but little is known about the performance of these systems in treating hydroponic wastewater. In addition, obtaining satisfactory winter performances from CWs operated in cold climates remains a challenge, as biological pathways are often slowed down or inhibited. The main objective of this study was to assess the effect of plant species (Typha sp., Phragmites australis, and Phalaris arundinacea) and the addition of organic carbon on nutrient removal in winter. The experimental setup consisted of 16 subsurface flow CW mesocosms (1 m2, HRT of 3 days) fed with 30 Ld1 of synthetic hydroponics wastewater, with half of the mesocosms fed with an additional source of organic carbon (sucrose). Carbon addition had a significant impact on nitrate and phosphate removal, with removal means of 4.9 g m-2d -1 of NO3-N and 0.5 g m-2 d-1 of PO4-P. Planted mesocosms were generally more efficient than unplanted controls. Furthermore, we found significant differences among plant treatments for NO3-N (highest removal with P. arundinacea) and COD (highest removal with P. australis/Typha sp.). Overall, planted wetlands with added organic carbon represent the best combination to treat hydroponics wastewater during the winter. © 2010 Springer Science+Business Media B.V.",Constructed wetlands; Hydroponics wastewater; Macrophyte species; Nitrate removal; Organic carbon addition,Constructed wetlands; Hydroponics wastewater; Macrophytes; Nitrate removal; Organic carbon addition; Effluents; Nitrates; Organic carbon; Phosphorus; Sugar (sucrose); Wastewater; Wastewater treatment; Wetlands; Nitrogen removal; ammonia; nitrate; organic carbon; phosphate; constructed wetland; mesocosm; nitrate; organic carbon; subsurface flow; waste treatment; wastewater; winter; article; chemical analysis; chemical oxygen demand; controlled study; denitrification; environmental impact assessment; mesocosm; nitrification; nonhuman; Phalaris arundinacea; Phragmites australis; plant; waste component removal; waste water management; wetland; winter; Phalaris arundinacea; Phragmites australis; Typha,"Brisson, J.; Institut de Recherche en Biologie Végétale, 4101, rue Sherbrooke Est, Montréal, QC H1X 2B2, Canada; email: jacques.brisson@umontreal.ca",,,496979,,WAPLA,,English,Water Air Soil Pollut.,Article,Final,,Scopus,2-s2.0-77957592480
Bernstein S.,,Aquaponic Gardening: A Step-By-Step Guide to Raising Vegetables and Fish Together,2011,Aquaponic Gardening: A Step-By-Step Guide to Raising Vegetables and Fish Together,,,,,,,59,,,,"Bernstein, S.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-84871053141
"Adler P.R., Harper J.K., Wade E.M., Takeda F., Summerfelt S.T.",,Economic analysis of an aquaponic system for the integrated production of rainbow trout and plants,2000,International Journal of Recirculating Aquaculture,1,1,,15,34,,58,,,,"Adler, P.R.; Harper, J.K.; Wade, E.M.; Takeda, F.; Summerfelt, S.T.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-0007262270
Wohlgenant M.K.,6601974331;,Chapter 16 Marketing margins: Empirical analysis,2001,Handbook of Agricultural Economics,1,PART B,,933,970,,56,10.1016/S1574-0072(01)10024-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350103049&doi=10.1016%2fS1574-0072%2801%2910024-1&partnerID=40&md5=b64cf6691349f1c5708f0933bf264216,"Department of Agricultural and Resource Economics, North Carolina State University, Raleigh, NC, United States","Wohlgenant, M.K., Department of Agricultural and Resource Economics, North Carolina State University, Raleigh, NC, United States","The marketing margin, characterized as some function of the difference between retail and farm price of a given farm product, is intended to measure the cost of providiing marketing services. The margin is influenced primarily by shifts in retail demand, farm supply, and marketing input prices. But other factors also can be important, including time lags in supply and demand, market power, risk, technical change, quality, and spatial considerations. Topics for future research include improved specifications for margins and demand and supply shifters, retail-to-farm price transmission of retail demand changes, and impacts of vertical integration and policy interventions. © 2001 Elsevier Science B.V. All rights reserved.",Q13,,"Wohlgenant, M.K.; Department of Agricultural and Resource Economics, , Raleigh, NC, United States",,,15740072,,,,English,Handb. Agric. Econ.,Review,Final,,Scopus,2-s2.0-70350103049
"Kouassi K.H.S., Bajji M., Jijakli H.",38862037700;6602385507;10639696700;,"The control of postharvest blue and green molds of citrus in relation with essential oil-wax formulations, adherence and viscosity",2012,Postharvest Biology and Technology,73,,,122,128,,54,10.1016/j.postharvbio.2012.06.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863747551&doi=10.1016%2fj.postharvbio.2012.06.008&partnerID=40&md5=cfd270df2a7528f5dd002469b471d9c2,"Phytopathology Unit, Gembloux Agro-Bio Tech, Liege University, Passage des Déportés, 2, B-5030 Gembloux, Belgium; Laboratory of Chemistry and Biochemistry of Natural Products, Faculty of Science and Technology, Cheikh Anta Diop University, BP 5005 Dakar-Fann, Senegal; Bioengineering Unit, Life Sciences Department, Walloon Agricultural Research Centre (CRA-W), Chaussee de Charleroi 234, B-5030 Gembloux, Belgium","Kouassi, K.H.S., Phytopathology Unit, Gembloux Agro-Bio Tech, Liege University, Passage des Déportés, 2, B-5030 Gembloux, Belgium, Laboratory of Chemistry and Biochemistry of Natural Products, Faculty of Science and Technology, Cheikh Anta Diop University, BP 5005 Dakar-Fann, Senegal; Bajji, M., Phytopathology Unit, Gembloux Agro-Bio Tech, Liege University, Passage des Déportés, 2, B-5030 Gembloux, Belgium, Bioengineering Unit, Life Sciences Department, Walloon Agricultural Research Centre (CRA-W), Chaussee de Charleroi 234, B-5030 Gembloux, Belgium; Jijakli, H., Phytopathology Unit, Gembloux Agro-Bio Tech, Liege University, Passage des Déportés, 2, B-5030 Gembloux, Belgium","The use of wax coatings enriched with antifungals has significantly contributed to quality maintaining of harvested citrus fruit. On the other hand, interest in essential oils (EOs) as an alternative to synthetic fungicides has recently gained momentum. In this study. Cinnamomum zeylanicum EO was incorporated into a variety of commercial citrus waxes (shellac, carnauba, paraffin and polyethylene). The biological activity of these formulations against green and blue rots as well as their viscosity and adherence to the orange fruit surface were evaluated. Excellent disease control was achieved with C. zeylanicum EO incorporated in shellac and/or carnauba wax compared to other EO-wax formulations. Disease control by EO-waxes seems to depend not only on the volume that remains on the fruit skin, but also, probably on the retention of EO components on the fruit. Other factors such as formulation solubility, permeability to gases, and compatibility between EO compounds and those of waxes may also be involved in the improvement of EO efficacy. The present study may therefore allow a careful selection of appropriate waxes for the elaboration of effective EO-wax formulations. © 2012 Elsevier B.V.",Biological activity; Citrus fruit; Essential oil; P. digitatum; Penicillium italicum; Wax,Cinnamomum verum; Citrus; Penicillium; Penicillium digitatum; Penicillium italicum,"Kouassi, K.H.S.; Phytopathology Unit, Passage des Déportés, 2, B-5030 Gembloux, Belgium; email: sosthenehugues@yahoo.fr",,,9255214,,PBTEE,,English,Postharvest Biol. Technol.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-84863747551
Haïssam J.M.,36727568500;,Pichia anomala in biocontrol for apples: 20 years of fundamental research and practical applications,2011,"Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",99,1,,93,105,,52,10.1007/s10482-010-9541-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79451472074&doi=10.1007%2fs10482-010-9541-2&partnerID=40&md5=7e79e1408384d3e316a903792c609012,,"Haïssam, J.M.","Fungal pathogens such as Botrytis cinerea, Penicillium expansum and the Gloeosporioides group are mainly responsible for important economical losses of post-harvest apples. Application of biological control agents (BCAs) is an emerging alternative to synthetic fungicides. However, before becoming an economically feasible alternative to chemical control, BCAs have to satisfy different requirements related to biological, technological and toxicological properties. The different steps for a successful strategy of disease control (selection, production and formulation, study of mechanisms of action, ecological characterization, molecular monitoring, pilot efficacy trials, registration) are reviewed in this paper considering the antagonistic yeast Pichia anomala strain K. This strain was selected for its high and reliable antagonistic activity against B. cinerea and P. expansum on apples. The studies of mode of action and ecological fitness are emphasized because they can lead to a better efficacy of strain K. Recently advanced molecular techniques have contributed to improving knowledge on the modes of action. Thanks to the identification of genes involved in biocontrol properties, the genetic basis of action mechanisms can be understood. That approach was adopted for P. anomala strain K and led to the identification of genes coding for exo-β-1,3- glucanases implicated in the efficacy. Based on that identification, a formulation involving β-1,3-glucans was developed and applied with higher efficacy in controlled conditions. The importance of ecological characterisation is also highlighted in the context of pre-harvest application of P. anomala strain K. UV light, temperature and humidity were identified as major factors influencing the strain K population. A model taking into consideration temperature and humidity was developed and could be useful in deciding whether pre-harvest treatment is sufficient to allow fast colonization of wounds prior to the arrival of wound pathogens, or whether it is wise to apply further post-harvest treatment to increase the yeast population density. This summary presenting 20 years of work also paid attention to practical application of strain K and its integration with other methods of control. © 2011 Springer Science+Business Media B.V.",Apples; Biological control; Botrytis; Penicillium; Pichia anomala; Post-harvest,"1,3 beta glucanase; beta 1,3 glucan; antifungal activity; apple; article; biological control agent; Botrytis cinerea; fungal strain; gene identification; humidity; nonhuman; nucleotide sequence; Penicillium expansum; Pichia anomala; postharvest decay; priority journal; temperature; ultraviolet radiation; Antibiosis; Botrytis; Malus; Penicillium; Pest Control, Biological; Pichia; Plant Diseases; Botryotinia fuckeliana; Botrytis; Penicillium; Penicillium expansum; Pichia anomala","Haïssam, J. M.; Gembloux Agro-Biotech, , Gembloux 5030, Belgium; email: jijakli.h@fsagx.ac.be",,,36072,,ALJMA,21222032,English,Antonie Van Leeuwenhoek Int. J. Gen. Mol. Microbiol.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-79451472074
"Schram E., Roques J.A.C., Abbink W., Yokohama Y., Spanings T., de Vries P., Bierman S., van de Vis H., Flik G.",20434525800;36437560200;6504316649;55520049500;6504701989;7102207555;18633451000;23096319400;7004588474;,"The impact of elevated water nitrate concentration on physiology, growth and feed intake of African catfish Clarias gariepinus (Burchell 1822)",2014,Aquaculture Research,45,9,,1499,1511,,51,10.1111/are.12098,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905030381&doi=10.1111%2fare.12098&partnerID=40&md5=070f6ea9315b534f0961f6ca8f5cf515,"IMARES, Wageningen Aquaculture, Wageningen UR, IJmuiden, Netherlands; Department of Animal Physiology, Institute for Water and Wetland Research, Faculty of Science, Radboud University Nijmegen, Nijmegen, Netherlands","Schram, E., IMARES, Wageningen Aquaculture, Wageningen UR, IJmuiden, Netherlands; Roques, J.A.C., IMARES, Wageningen Aquaculture, Wageningen UR, IJmuiden, Netherlands, Department of Animal Physiology, Institute for Water and Wetland Research, Faculty of Science, Radboud University Nijmegen, Nijmegen, Netherlands; Abbink, W., IMARES, Wageningen Aquaculture, Wageningen UR, IJmuiden, Netherlands; Yokohama, Y., Department of Animal Physiology, Institute for Water and Wetland Research, Faculty of Science, Radboud University Nijmegen, Nijmegen, Netherlands; Spanings, T., Department of Animal Physiology, Institute for Water and Wetland Research, Faculty of Science, Radboud University Nijmegen, Nijmegen, Netherlands; de Vries, P., IMARES, Wageningen Aquaculture, Wageningen UR, IJmuiden, Netherlands; Bierman, S., IMARES, Wageningen Aquaculture, Wageningen UR, IJmuiden, Netherlands; van de Vis, H., IMARES, Wageningen Aquaculture, Wageningen UR, IJmuiden, Netherlands; Flik, G., Department of Animal Physiology, Institute for Water and Wetland Research, Faculty of Science, Radboud University Nijmegen, Nijmegen, Netherlands","The nitrate threshold concentration in rearing water of African catfish (Clarias gariepinus) was assessed. Female African catfish with an initial mean (SD) weight of 154.3 (7.5) g were exposed to 0.4 (Control), 1.5, 4.2, 9.7 and 27.0 mM nitrate for 42 days. Mean (SD) plasma concentrations of nitrate increased from 71 (29) to 6623 (921) μM at the highest ambient nitrate level. Mean (SD) plasma nitrite concentration ranged from 1.2 (0.5) to 7.9 (9.0) μM. Haematocrit, plasma concentrations of non-esterified fatty acids (NEFA), cortisol, glucose, lactate, osmolality, gill morphology and branchial Na+/K+-ATPase activity were not affected. Feed intake and specific growth rate were significantly reduced at the highest nitrate concentration. We advise not to exceed a water nitrate concentration of 10 mM (140 mg L-1 NO3-N) to prevent the risk of reduced growth and feed intake in African catfish aquaculture. © 2012 John Wiley &amp; Sons Ltd.",African catfish; Feed intake; Nitrate toxicity; Recirculating aquaculture systems; Specific growth rate; Stress physiology,assessment method; concentration (composition); food intake; growth response; nitrate; organic compound; physiology; Africa; Clarias gariepinus,"Schram, E.; Wageningen Aquaculture, Wageningen UR, P.O. Box 67, 1970 AB, IJmuiden, Netherlands; email: edward.schram@wur.nl",,Blackwell Publishing Ltd,1355557X,,AQREF,,English,Aquac. Res.,Article,Final,,Scopus,2-s2.0-84905030381
"Adler P.R., Harper J.K., Takeda F., Wade E.M., Summerfelt S.T.",7202767530;7402361607;7103100927;7006005785;7003760053;,Economic evaluation of hydroponics and other treatment options for phosphorus removal in aquaculture effluent,2000,HortScience,35,6,,993,999,,51,10.21273/hortsci.35.6.993,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033735576&doi=10.21273%2fhortsci.35.6.993&partnerID=40&md5=fe2e186a208b6abe23fa3fbf1eaaecde,"U.S. Dept. Agric.-Agric. Res. Serv., 45 Wiltshire Road, Kearneysville, WV 25430-9802, United States","Adler, P.R., U.S. Dept. Agric.-Agric. Res. Serv., 45 Wiltshire Road, Kearneysville, WV 25430-9802, United States; Harper, J.K., U.S. Dept. Agric.-Agric. Res. Serv., 45 Wiltshire Road, Kearneysville, WV 25430-9802, United States; Takeda, F., U.S. Dept. Agric.-Agric. Res. Serv., 45 Wiltshire Road, Kearneysville, WV 25430-9802, United States; Wade, E.M., U.S. Dept. Agric.-Agric. Res. Serv., 45 Wiltshire Road, Kearneysville, WV 25430-9802, United States; Summerfelt, S.T., U.S. Dept. Agric.-Agric. Res. Serv., 45 Wiltshire Road, Kearneysville, WV 25430-9802, United States",[No abstract available],,,"Adler, P.R.; U.S. Dept. Agric.-Agric. Res. Serv., 45 Wiltshire Road, Kearneysville, WV 25430-9802, United States; email: PAdler@afrs.ars.usda.gov",,American Society for Horticultural Science,185345,,HJHSA,,English,HortScience,Review,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-0033735576
"Martins C.I.M., Eding E.H., Verreth J.A.J.",9533253300;6506858616;57207022070;,The effect of recirculating aquaculture systems on the concentrations of heavy metals in culture water and tissues of Nile tilapia Oreochromis niloticus,2011,Food Chemistry,126,3,,1001,1005,,50,10.1016/j.foodchem.2010.11.108,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751580586&doi=10.1016%2fj.foodchem.2010.11.108&partnerID=40&md5=9d69cf277ef587fdf969c78123a7e009,"Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH, Wageningen, Netherlands; CCMAR - Centro de Ciências Do Mar Universidade Do Algarve, Campus de Gambelas, 8005-139 FARO, Portugal","Martins, C.I.M., Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH, Wageningen, Netherlands, CCMAR - Centro de Ciências Do Mar Universidade Do Algarve, Campus de Gambelas, 8005-139 FARO, Portugal; Eding, E.H., Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH, Wageningen, Netherlands; Verreth, J.A.J., Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH, Wageningen, Netherlands","To date, farming fish in recirculating aquaculture systems (RAS) is one of the most environmentally friendly ways of producing fish. However, with the trend towards intensification, and consequently decrease in water exchange rates, these systems may accumulate substances, such as heavy metals, in the water and fish. Inductively-coupled plasma-optical emission spectrometry (ICP-OES) and inductively coupled plasma-mass spectroscope (ICP-MS) were used to determine Al, As, Cd, Cr, Cu, Fe, Mn, Ni, Pb and Zn, in the water and fish (Nile tilapia Oreochromis niloticus). Three RAS were used, differing in daily water exchange rates (30, 70 and 1500 l/kg feed/d). The concentrations of As, Fe, Mn, Ni and Zn in the water increased with decreasing water exchange rates, suggesting an accumulation of heavy metals as more water was re-used. Such accumulation in the water was, however, not translated into accumulation in the liver and muscle. Accumulation of heavy metals was always higher in the liver than in the muscle; however, As reached 1.61 mg/kg wet weight in the muscle of fish farmed in RAS-70 l/kg feed/d. However, these levels are considerably lower than permissible safety levels for human consumption. © 2010 Elsevier Ltd. All rights reserved.",Aquaculture; Arsenic; Fillets; Fish; Heavy metals; ICP-MS; ICP-OES; Liver; Nile tilapia; Recirculation aquaculture systems (RAS); Water exchange rates; Water re-use systems,Fillets; ICP-MS; ICP-OES; Nile tilapia; Recirculations; Water exchange rates; Water re-use systems; Aquaculture; Arsenic; Electromagnetic induction; Fish; Inductively coupled plasma; Lead; Liver; Manganese; Manganese removal (water treatment); Mass spectrometers; Metals; Muscle; Optical emission spectroscopy; Water conservation; Zinc; Heavy water; aluminum; arsenic; cadmium; chromium; copper; heavy metal; iron; lead; manganese; nickel; zinc; animal tissue; aquaculture; article; bioaccumulation; concentration (parameters); inductively coupled plasma optical emission spectrometry; liver; mass spectrometry; muscle; nonhuman; Oreochromis niloticus; spectrometry; Oreochromis niloticus,"Martins, C. I. M.; CCMAR - Centro de Ciências Do Mar Universidade Do Algarve, , 8005-139 FARO, Portugal; email: cimartins@ualg.pt",,,3088146,,FOCHD,,English,Food Chem.,Article,Final,,Scopus,2-s2.0-78751580586
Rakocy J.,,Ten guidelines for aquaponic systems,2007,Aquaponics J,46,46,,14,17,,50,,,,"Rakocy, J.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-84929216369
